Week,Searches
2019-10-06,10
2019-10-13,10
2019-10-20,10
2019-10-27,10
2019-11-03,10
2019-11-10,11
2019-11-17,11
2019-11-24,9
2019-12-01,10
2019-12-08,9
2019-12-15,10
2019-12-22,8
2019-12-29,9
2020-01-05,9
2020-01-12,10
2020-01-19,11
2020-01-26,11
2020-02-02,12
2020-02-09,11
2020-02-16,11
2020-02-23,11
2020-03-01,13
2020-03-08,12
2020-03-15,10
2020-03-22,10
2020-03-29,10
2020-04-05,10
2020-04-12,11
2020-04-19,11
2020-04-26,11
2020-05-03,12
2020-05-10,11
2020-05-17,11
2020-05-24,11
2020-05-31,10
2020-06-07,11
2020-06-14,11
2020-06-21,11
2020-06-28,11
2020-07-05,11
2020-07-12,12
2020-07-19,12
2020-07-26,11
2020-08-02,11
2020-08-09,11
2020-08-16,14
2020-08-23,11
2020-08-30,11
2020-09-06,11
2020-09-13,12
2020-09-20,11
2020-09-27,10
2020-10-04,10
2020-10-11,11
2020-10-18,11
2020-10-25,10
2020-11-01,8
2020-11-08,11
2020-11-15,12
2020-11-22,11
2020-11-29,10
2020-12-06,10
2020-12-13,10
2020-12-20,10
2020-12-27,10
2021-01-03,11
2021-01-10,12
2021-01-17,12
2021-01-24,12
2021-01-31,12
2021-02-07,11
2021-02-14,11
2021-02-21,12
2021-02-28,12
2021-03-07,12
2021-03-14,11
2021-03-21,11
2021-03-28,12
2021-04-04,12
2021-04-11,12
2021-04-18,14
2021-04-25,14
2021-05-02,13
2021-05-09,13
2021-05-16,12
2021-05-23,11
2021-05-30,11
2021-06-06,12
2021-06-13,13
2021-06-20,13
2021-06-27,12
2021-07-04,12
2021-07-11,12
2021-07-18,12
2021-07-25,12
2021-08-01,12
2021-08-08,12
2021-08-15,12
2021-08-22,12
2021-08-29,12
2021-09-05,12
2021-09-12,12
2021-09-19,12
2021-09-26,13
2021-10-03,12
2021-10-10,13
2021-10-17,12
2021-10-24,91
2021-10-31,51
2021-11-07,44
2021-11-14,36
2021-11-21,33
2021-11-28,31
2021-12-05,26
2021-12-12,22
2021-12-19,18
2021-12-26,21
2022-01-02,24
2022-01-09,26
2022-01-16,28
2022-01-23,28
2022-01-30,60
2022-02-06,44
2022-02-13,41
2022-02-20,35
2022-02-27,29
2022-03-06,28
2022-03-13,30
2022-03-20,29
2022-03-27,30
2022-04-03,31
2022-04-10,31
2022-04-17,35
2022-04-24,42
2022-05-01,37
2022-05-08,33
2022-05-15,30
2022-05-22,30
2022-05-29,32
2022-06-05,36
2022-06-12,38
2022-06-19,41
2022-06-26,38
2022-07-03,35
2022-07-10,37
2022-07-17,39
2022-07-24,55
2022-07-31,39
2022-08-07,39
2022-08-14,36
2022-08-21,41
2022-08-28,39
2022-09-04,35
2022-09-11,40
2022-09-18,41
2022-09-25,43
2022-10-02,42
2022-10-09,54
2022-10-16,44
2022-10-23,91
2022-10-30,63
2022-11-06,100
2022-11-13,54
2022-11-20,58
2022-11-27,52
2022-12-04,50
2022-12-11,50
2022-12-18,50
2022-12-25,79
2023-01-01,46
2023-01-08,42
2023-01-15,42
2023-01-22,45
2023-01-29,73
2023-02-05,47
2023-02-12,45
2023-02-19,49
2023-02-26,46
2023-03-05,53
2023-03-12,63
2023-03-19,52
2023-03-26,50
2023-04-02,45
2023-04-09,44
2023-04-16,56
2023-04-23,61
2023-04-30,44
2023-05-07,42
2023-05-14,42
2023-05-21,52
2023-05-28,46
2023-06-04,54
2023-06-11,48
2023-06-18,43
2023-06-25,46
2023-07-02,72
2023-07-09,60
2023-07-16,50
2023-07-23,66
2023-07-30,48
2023-08-06,45
2023-08-13,44
2023-08-20,44
2023-08-27,42
2023-09-03,39
2023-09-10,41
2023-09-17,40
2023-09-24,60
